pokemon_name,normalized_name,source_path,output_path
mantyke,mantyke,data/raw_images/_extracted/images/Mantyke/1.jpg,data/images/mantyke.jpg
mienfoo,mienfoo,data/raw_images/_extracted/images/Mienfoo/1.jpg,data/images/mienfoo.jpg
entei,entei,data/raw_images/_extracted/images/Entei/2.jpg,data/images/entei.jpg
furfrou,furfrou,data/raw_images/_extracted/images/Furfrou/4.jpg,data/images/furfrou.jpg
deerling,deerling,data/raw_images/_extracted/images/Deerling/4.jpg,data/images/deerling.jpg
magmortar,magmortar,data/raw_images/_extracted/images/Magmortar/1.jpg,data/images/magmortar.jpg
charmander,charmander,data/raw_images/_extracted/images/Charmander/2.jpg,data/images/charmander.jpg
staryu,staryu,data/raw_images/_extracted/images/Staryu/2.jpg,data/images/staryu.jpg
togetic,togetic,data/raw_images/_extracted/images/Togetic/2.jpg,data/images/togetic.jpg
cradily,cradily,data/raw_images/_extracted/images/Cradily/1.jpg,data/images/cradily.jpg
rufflet,rufflet,data/raw_images/_extracted/images/Rufflet/1.jpg,data/images/rufflet.jpg
zebstrika,zebstrika,data/raw_images/_extracted/images/Zebstrika/1.jpg,data/images/zebstrika.jpg
bonsly,bonsly,data/raw_images/_extracted/images/Bonsly/1.jpg,data/images/bonsly.jpg
lileep,lileep,data/raw_images/_extracted/images/Lileep/1.jpg,data/images/lileep.jpg
rhyperior,rhyperior,data/raw_images/_extracted/images/Rhyperior/1.jpg,data/images/rhyperior.jpg
beheeyem,beheeyem,data/raw_images/_extracted/images/Beheeyem/1.jpg,data/images/beheeyem.jpg
